Umur,Domisili,Province,Jenis Kelamin,Total Twitter Sekunder,Twitter1,Twitter2,Twitter3,Twitter4,Twitter5,Twitter6,Private Second Account,Roleplay Acc,Fake/Spam,Alter Acc,BodySatisfaction,FamCloseness,ParentsinMarriage,LivingApart,Loneliness,SExp1,SExp2,SExp3,SExp4,SExp5,SExp6,SExp,InfSeek1,InfSeek2,InfSeek3,InfSeek4,InfSeek,Soc1,Soc2,Soc3,Soc4,Soc,Div1,Div2,Div,UG_TOT,DA1,DA2,DA3,DA4,DA_OD,IN1,IN2,IN3,IN4,IN5,IN_OD,AS1,AS2,AS3,AS_OD,SI1,SI2,SI3,SI_OD,DI1,DI2,DI3,DI4,DI_OD,MA1,MA2,MA3,MA4,MA_OD,OD_TOT,SNS1,SNS2,SNS3,SNS4,SNS5,SNS6,SNS_TOT
1,Bandung,Jawa Barat,0,2,Private Second Account,Fake/Spam/Fan Account,,,,,1,0,1,0,3,2,1,0,1,2,1,1,4,6,6,20,7,7,7,6,27,6,5,5,5,21,7,6,13,81,5,5,5,6,21,6,5,6,5,4,26,7,7,5,19,3,4,6,13,4,4,3,3,14,2,2,2,2,8,101,4,1,5,3,3,1,17
1,Bandung,Jawa Barat,0,1,Private Second Account,Private Second Account,,,,,2,0,0,0,3,1,0,1,2,5,3,4,4,7,1,24,7,7,7,7,28,7,6,6,7,26,7,7,14,92,7,7,7,7,28,7,2,6,6,4,25,5,5,5,15,5,4,4,13,2,2,2,1,7,4,4,4,4,16,104,3,3,4,4,3,5,22
1,Bandung,Jawa Barat,0,2,Private Second Account,Fake/Spam/Fan Account,,,,,1,0,1,0,3,3,1,0,2,7,3,3,7,7,1,28,6,5,6,6,23,7,6,7,7,27,7,7,14,92,7,6,6,6,25,3,5,5,5,5,23,7,7,7,21,6,6,6,18,5,5,5,6,21,7,6,6,6,25,133,4,3,5,2,2,1,17
1,Bandung,Jawa Barat,0,2,Private Second Account,Fake/Spam/Fan Account,,,,,1,0,1,0,2,2,1,1,2,3,2,5,6,5,6,27,7,6,7,6,26,7,6,5,5,23,7,7,14,90,6,6,6,6,24,6,6,6,6,4,28,6,6,6,18,4,5,5,14,3,3,3,2,11,2,3,2,2,9,104,4,2,5,4,4,3,22
1,Bandung,Jawa Barat,0,2,Private Second Account,Fake/Spam/Fan Account,,,,,1,0,1,0,3,3,0,0,2,2,3,1,5,5,3,19,1,1,4,1,7,7,4,2,1,14,7,2,9,49,4,3,4,3,14,4,5,4,6,2,21,7,7,7,21,3,3,4,10,1,1,1,1,4,1,1,1,1,4,74,2,2,2,1,1,2,10
1,Bandung,Jawa Barat,0,2,Private Second Account,Fake/Spam/Fan Account,,,,,1,0,1,0,3,3,1,0,3,7,3,7,7,7,1,32,7,7,7,7,28,7,7,7,7,28,7,7,14,102,4,3,2,2,11,4,2,2,2,3,13,3,3,3,9,2,6,6,14,4,2,2,2,10,3,2,3,3,11,68,4,3,5,4,2,4,22
1,Bandung,Jawa Barat,0,1,Private Second Account,Private Second Account,,,,,2,0,0,0,3,2,0,0,2,5,4,6,7,5,4,31,7,7,5,4,23,5,4,5,4,18,5,4,9,81,3,3,5,3,14,5,3,3,3,3,17,5,5,5,15,5,5,5,15,3,3,3,5,14,3,5,3,3,14,89,3,4,3,5,5,2,22
1,Bandung,Jawa Barat,0,2,Private Second Account,Fake/Spam/Fan Account,,,,,1,0,1,0,3,3,0,0,2,1,4,3,6,7,4,25,7,7,7,4,25,7,4,2,1,14,7,7,14,78,1,1,1,1,4,1,1,1,4,1,8,7,7,7,21,7,4,3,14,1,1,1,1,4,1,6,1,1,9,60,5,5,5,3,5,5,28
1,Bandung,Jawa Barat,0,2,Private Second Account,Fake/Spam/Fan Account,,,,,1,0,1,0,2,3,1,0,3,1,1,3,3,7,1,16,7,7,7,7,28,7,5,3,3,18,7,7,14,76,7,7,7,7,28,7,7,7,7,7,35,7,7,7,21,3,3,5,11,4,5,5,5,19,7,6,7,5,25,139,3,3,5,5,3,2,21
1,Bandung,Jawa Barat,0,2,Private Second Account,Fake/Spam/Fan Account,,,,,1,0,1,0,2,1,1,0,4,4,2,5,7,6,1,25,7,7,7,4,25,6,4,5,4,19,6,7,13,82,7,6,6,6,25,7,5,6,6,6,30,7,7,7,21,5,5,3,13,5,3,2,4,14,6,5,4,1,16,119,4,3,5,5,3,3,23
